epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,159,,,,,0.949999988079071,0.26932093501091003
0,159,,,0.75,0.4752829968929291,,
1,319,,,,,1.0,0.15730498731136322
1,319,,,0.9750000238418579,0.23694542050361633,,
2,479,,,,,1.0,0.11077119410037994
2,479,,,0.9937499761581421,0.1582261323928833,,
3,639,,,,,1.0,0.08568493276834488
3,639,,,1.0,0.11985522508621216,,
4,799,,,,,1.0,0.07010628283023834
4,799,,,1.0,0.09719270467758179,,
5,959,,,,,1.0,0.05936441943049431
5,959,,,1.0,0.08215363323688507,,
6,1119,,,,,1.0,0.05151200294494629
6,1119,,,1.0,0.07137800753116608,,
7,1279,,,,,1.0,0.045543260872364044
7,1279,,,1.0,0.0632675439119339,,
8,1439,,,,,1.0,0.0408257320523262
8,1439,,,1.0,0.05693294480443001,,
9,1599,,,,,1.0,0.037032801657915115
9,1599,,,1.0,0.05184703320264816,,
10,1600,1.0,0.07935626059770584,,,,
