epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,159,,,,,0.8500000238418579,0.633294403553009
0,159,,,0.612500011920929,0.6822649836540222,,
1,319,,,,,0.800000011920929,0.49423885345458984
1,319,,,0.831250011920929,0.5829058885574341,,
2,479,,,,,1.0,0.27353569865226746
2,479,,,0.90625,0.3829123377799988,,
3,639,,,,,1.0,0.1761641800403595
3,639,,,0.987500011920929,0.22055523097515106,,
4,799,,,,,1.0,0.12624771893024445
4,799,,,1.0,0.1467290222644806,,
5,959,,,,,1.0,0.09860920161008835
5,959,,,1.0,0.10854605585336685,,
6,1119,,,,,1.0,0.0804864913225174
6,1119,,,1.0,0.08595819771289825,,
7,1279,,,,,1.0,0.06757060438394547
7,1279,,,1.0,0.07103928923606873,,
8,1439,,,,,1.0,0.05803025886416435
8,1439,,,1.0,0.06027277559041977,,
9,1599,,,,,1.0,0.05073971673846245
9,1599,,,1.0,0.052183378487825394,,
10,1600,1.0,0.09708271920681,,,,
