epoch,step,train_loss,val_loss
0,236,,0.11726225912570953
0,236,0.12376430630683899,
1,473,,0.11795707046985626
1,473,0.10924936085939407,
2,710,,0.11411713063716888
2,710,0.10915803164243698,
3,947,,0.10839835554361343
3,947,0.10878901928663254,
4,1184,,0.11190304905176163
4,1184,0.10781197994947433,
5,1421,,1.2978821992874146
5,1421,0.15743112564086914,
6,1658,,0.1322544366121292
6,1658,0.22969762980937958,
7,1895,,0.12954755127429962
7,1895,0.11292439699172974,
8,2132,,0.11097747832536697
8,2132,0.11215316504240036,
9,2369,,0.11099972575902939
9,2369,0.10851321369409561,
10,2606,,0.11350075155496597
10,2606,0.10826783627271652,
11,2843,,0.13264265656471252
11,2843,0.12471159547567368,
12,3080,,0.11499665677547455
12,3080,0.11180517077445984,
13,3317,,0.10807596892118454
13,3317,0.1096065565943718,
14,3554,,0.11838693916797638
14,3554,0.10714761912822723,
15,3791,,0.1141420304775238
15,3791,0.10913871973752975,
16,4028,,0.11579356342554092
16,4028,0.10844878852367401,
17,4265,,0.13096804916858673
17,4265,0.1098451167345047,
18,4502,,0.1226418986916542
18,4502,0.10953804850578308,
19,4739,,0.1143132746219635
19,4739,0.1049063578248024,
20,4976,,0.11573769152164459
20,4976,0.1059829518198967,
21,5213,,0.12493066489696503
21,5213,0.10563680529594421,
22,5450,,0.11157242953777313
22,5450,0.10738129913806915,
23,5687,,0.1255103498697281
23,5687,0.10729260742664337,
24,5924,,0.11300898343324661
24,5924,0.10898570716381073,
25,6161,,0.2911047041416168
25,6161,0.13133308291435242,
26,6398,,0.7355996370315552
26,6398,0.20575003325939178,
27,6635,,0.15073978900909424
27,6635,0.18423882126808167,
28,6872,,0.1173345074057579
28,6872,0.11655387282371521,
29,7109,,0.12337995320558548
29,7109,0.1173582598567009,
30,7346,,0.37814903259277344
30,7346,0.11375930160284042,
31,7583,,0.13100525736808777
31,7583,0.21150092780590057,
32,7820,,0.13314002752304077
32,7820,0.12432392686605453,
33,8057,,0.13757532835006714
33,8057,0.12083689868450165,
