epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,159,,,,,0.75,0.6468765735626221
0,159,,,0.75,0.6740649938583374,,
1,319,,,,,1.0,0.562920868396759
1,319,,,0.9312499761581421,0.6230608224868774,,
2,479,,,,,1.0,0.34780848026275635
2,479,,,0.9750000238418579,0.4974800646305084,,
3,639,,,,,1.0,0.16390977799892426
3,639,,,0.96875,0.2884569764137268,,
4,799,,,,,1.0,0.07675857841968536
4,799,,,1.0,0.1375136375427246,,
5,959,,,,,1.0,0.03806240111589432
5,959,,,1.0,0.06696243584156036,,
6,1119,,,,,1.0,0.02150343917310238
6,1119,,,1.0,0.03694359213113785,,
7,1279,,,,,1.0,0.013466860167682171
7,1279,,,1.0,0.023041095584630966,,
8,1439,,,,,1.0,0.009198255836963654
8,1439,,,1.0,0.015832385048270226,,
9,1599,,,,,1.0,0.0067041730508208275
9,1599,,,1.0,0.011667963117361069,,
10,1600,1.0,0.010867757722735405,,,,
