epoch,step,train_loss,val_loss
0,237,,0.10990450531244278
0,237,0.11777243763208389,
1,475,,0.11332996934652328
1,475,0.10950195789337158,
2,713,,0.11260540038347244
2,713,0.10922574251890182,
3,951,,0.10985825955867767
3,951,0.10849283635616302,
4,1189,,0.11225614696741104
4,1189,0.10692493617534637,
5,1427,,0.11046329140663147
5,1427,0.10812581330537796,
6,1665,,0.1270553022623062
6,1665,0.10827789455652237,
7,1903,,0.1309935301542282
7,1903,0.10899367183446884,
8,2141,,0.11120709031820297
8,2141,0.11001380532979965,
9,2379,,0.11836329847574234
9,2379,0.11049909889698029,
10,2617,,0.11240863800048828
10,2617,0.10916256904602051,
11,2855,,0.11245958507061005
11,2855,0.10685669630765915,
12,3093,,0.11877286434173584
12,3093,0.10816489160060883,
13,3331,,0.11110874265432358
13,3331,0.10679769515991211,
14,3569,,0.15659981966018677
14,3569,0.1959359496831894,
15,3807,,0.13318243622779846
15,3807,0.1450785994529724,
16,4045,,0.23941825330257416
16,4045,0.12365058809518814,
17,4283,,0.17401821911334991
17,4283,0.12167922407388687,
18,4521,,0.11400457471609116
18,4521,0.12715254724025726,
19,4759,,0.1171901524066925
19,4759,0.12078569829463959,
20,4997,,0.12910932302474976
20,4997,0.11058621853590012,
21,5235,,0.17738382518291473
21,5235,0.11846243590116501,
22,5473,,0.1512599140405655
22,5473,0.11485899984836578,
23,5711,,0.18290916085243225
23,5711,0.1160779520869255,
