epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,159,,,,,1.0,0.36880043148994446
0,159,,,0.5874999761581421,0.7254248857498169,,
1,319,,,,,1.0,0.18647272884845734
1,319,,,1.0,0.26900795102119446,,
2,479,,,,,1.0,0.12465234100818634
2,479,,,1.0,0.1679028570652008,,
3,639,,,,,1.0,0.09390908479690552
3,639,,,1.0,0.12447665631771088,,
4,799,,,,,1.0,0.07553168386220932
4,799,,,1.0,0.09992852807044983,,
5,959,,,,,1.0,0.06321121752262115
5,959,,,1.0,0.08395618200302124,,
6,1119,,,,,1.0,0.054420482367277145
6,1119,,,1.0,0.07267353683710098,,
7,1279,,,,,1.0,0.04784128814935684
7,1279,,,1.0,0.06427232921123505,,
8,1439,,,,,1.0,0.042689092457294464
8,1439,,,1.0,0.05773692578077316,,
9,1599,,,,,1.0,0.03855738788843155
9,1599,,,1.0,0.052493948489427567,,
10,1600,1.0,0.0767304003238678,,,,
