epoch,step,train_loss,val_loss
0,236,,0.11230697482824326
0,236,0.12347039580345154,
1,473,,0.12322249263525009
1,473,0.10872748494148254,
2,710,,0.11324208974838257
2,710,0.10946357250213623,
3,947,,0.12362498044967651
3,947,0.11029326170682907,
4,1184,,0.11438122391700745
4,1184,0.11041755974292755,
5,1421,,0.11299705505371094
5,1421,0.10958252102136612,
6,1658,,0.1442945897579193
6,1658,0.32057836651802063,
7,1895,,0.12129571288824081
7,1895,0.1348147988319397,
8,2132,,0.1410807967185974
8,2132,0.1346048265695572,
9,2369,,0.1287730187177658
9,2369,0.1288713961839676,
10,2606,,0.1184723898768425
10,2606,0.12298936396837234,
11,2843,,0.16048045456409454
11,2843,0.1344795823097229,
12,3080,,0.15712927281856537
12,3080,0.13302072882652283,
13,3317,,0.12181219458580017
13,3317,0.12365787476301193,
14,3554,,0.1349942833185196
14,3554,0.12998460233211517,
15,3791,,0.11849487572908401
15,3791,0.1279558390378952,
16,4028,,0.1349857896566391
16,4028,0.13632331788539886,
17,4265,,0.12600408494472504
17,4265,0.12846270203590393,
18,4502,,0.11880850046873093
18,4502,0.12590894103050232,
19,4739,,0.12059318274259567
19,4739,0.13341951370239258,
20,4976,,0.12093649804592133
20,4976,0.11980941146612167,
