x,y,t
0.635286853,0.631594107,2
0.877437092,-1.085983395,0
0.080379298,0.918337376,1
0.652259598,-0.309120969,0
0.6893203,0.46153328,2
0.939872997,0.592664936,2
0.060488616,0.586437866,1
0.264725891,0.593585192,1
0.739853906,-0.202196067,2
1.155891631,0.644570813,2
0.452329944,-0.952078838,0
0.48035795,-0.7759107,0
0.107293778,0.912265344,1
0.503298902,-0.2186784,2
0.124103204,0.647849915,1
0.915525969,0.390253313,2
1.050473345,0.325959164,2
0.481616847,-1.241750137,0
0.828891214,-1.385533282,0
0.817824198,-0.511944917,0
-0.014241077,0.025660785,1
0.861014574,0.143335743,2
0.139378631,0.840510789,1
0.595464398,-0.700502662,0
0.26179827,0.712264705,1
0.82040045,0.244456409,2
0.862570396,-1.044655543,0
-0.122707342,0.901778137,1
0.05389574,-1.01533025,0
1.328280479,0.197789317,2
0.419234294,0.874414744,1
0.073545127,0.817052237,1
0.211677423,0.934959861,1
0.835485323,0.098053727,2
-0.218888893,0.135607448,1
1.235918086,0.745268707,2
0.810835005,-1.176347433,0
0.634101746,-1.193568725,0
1.022070366,0.549745369,2
0.770450351,-0.702331666,0
0.765054423,0.296589534,2
0.352599291,-0.646072897,0
0.154156649,0.3494444,1
0.530780129,0.138652484,2
0.772818265,0.33198656,2
0.567760292,0.224215029,2
0.840485308,0.477315973,2
1.438048996,-0.029421388,2
0.510084503,-0.604519426,0
0.41969476,-0.672993465,0
1.272096687,0.340102959,2
0.408454075,-0.664253876,0
0.724968438,-1.012048568,0
-0.16043917,1.295076941,1
1.027591247,-0.269836702,2
0.573300422,0.148503633,2
0.441215998,-1.114225263,0
0.148385138,-0.957472353,0
0.747266815,0.479747724,2
1.31496263,0.029933041,2
0.123879391,0.431407338,1
0.779631183,-1.145685503,0
-0.290861998,1.209666956,1
1.17187084,0.032314297,2
0.343634209,0.877453137,1
0.322544853,0.948570064,1
0.036649472,0.19962917,1
1.090191937,-0.001883947,2
-0.274867716,0.422581579,1
0.318230641,-0.929544473,0
-0.33035184,0.616479517,1
0.147204276,-1.653496796,0
0.384558306,-1.45752511,0
0.219231451,0.916960918,1
0.367123214,0.90186935,1
1.114201587,0.143913426,2
1.580512822,-0.517481751,2
1.43068839,0.321473907,2
0.793336867,0.126532464,2
-0.26647798,0.724828697,1
1.554182846,0.087474821,2
0.093577216,0.353267861,1
0.079017817,0.558785121,1
0.127383879,0.625814117,1
1.062419763,0.337407785,2
0.76895368,0.152849671,2
0.520847686,-1.139187911,0
1.168144015,0.388298568,2
0.559905411,0.266889575,2
0.918563937,-1.04437067,0
0.454674451,0.666205093,1
-0.148014468,0.413594034,1
0.787788071,0.541803142,2
0.025808967,-0.457399477,0
1.007288001,-0.058297849,2
1.078336013,0.095380567,2
1.131929909,-0.643760509,0
0.515965068,-0.930441947,0
0.971082623,-0.007742174,2
0.82262442,-0.699326133,0
0.401842304,-1.104543867,0
-0.044034902,0.748712887,1
0.184285167,0.930659559,1
1.069944279,0.282609474,2
0.926297288,0.346320648,2
0.353951,0.862199263,1
1.180064574,0.136802873,2
1.05312226,0.194571218,2
0.785810842,-0.288197486,0
0.253843193,-0.660505437,0
0.308543473,-1.180710818,0
0.268708404,-0.895904029,0
1.818796336,-0.205796239,2
0.739047247,0.529348709,2
0.619086085,0.632605954,1
0.771077005,0.139784271,2
0.867010346,0.652054377,2
