x,y,t
0.032561639,0.556336262,1
-0.047747578,1.011541105,1
-1.070977916,0.471374033,0
-0.268648197,0.942214627,1
-0.483169838,1.077926705,1
0.011400167,0.49784441,1
-0.314160204,1.089619108,1
-0.913554055,0.321537226,0
-0.875458046,0.203244845,0
-0.912877649,0.504128642,0
-0.769424406,0.529304316,0
-0.271690129,0.852256903,1
-1.238190349,0.419197415,0
-0.025294366,0.989502328,1
-0.243172509,1.187495254,1
-1.01673769,0.43812696,0
-0.250468987,1.245236442,1
0.114034001,0.869092312,1
-0.428367331,0.7367373,1
-0.626984911,0.06208737,0
-1.04598991,0.472765946,0
-0.777958229,0.022334004,0
-0.889891427,-0.046240091,0
-0.924884552,0.177234565,0
-0.989280907,0.700489883,0
-0.469329597,1.160258017,1
-0.449711369,0.659918664,1
-0.113198777,0.978178759,1
-0.13109835,1.211171508,1
-1.056696511,0.354251839,0
-0.342543254,1.086420273,1
-1.082021709,0.367098237,0
-0.920182904,0.330191714,0
-0.839620687,0.395611771,0
-0.030886276,0.630696701,1
-1.391717242,0.189232562,0
-0.186679648,0.757434506,1
-1.089554148,-0.182314266,0
-1.184529234,0.179538111,0
-0.250831283,1.049197712,1
-0.478291699,0.887439634,1
-0.161484218,0.892623186,1
-0.31625441,0.735532375,1
-0.714829199,0.10024859,0
-0.114654463,0.851014784,1
-0.96235639,0.282274172,0
-0.160052697,0.844581954,1
-0.019582976,0.864826462,1
-0.337641173,1.242374354,1
-0.961539374,0.505667837,0
-0.966566554,-0.055515931,0
-0.400615273,0.884919597,1
-1.099393988,0.042534667,0
-0.262347686,0.89909147,1
-0.82043091,0.159015453,0
-0.79070387,-0.05957654,0
-0.733191792,0.103354196,0
-0.519648741,0.630972849,1
-0.202529156,1.177958732,1
-0.161758481,0.71379571,1
-0.017225667,0.696568727,1
-0.344427172,0.705024338,1
-1.01001139,-0.029507334,0
-0.769002155,0.229326358,0
-0.915011086,-0.073827871,0
-0.440797943,0.697316051,1
-0.904501607,0.281290463,0
-0.279109978,0.841110679,1
-0.375806564,0.676239444,1
-0.639174605,0.752614232,1
-0.135329559,0.578284903,1
-0.93684791,-0.203785672,0
-0.282313246,1.048185125,1
-0.210141879,0.987755323,1
-0.848591328,0.390257283,0
-0.841565504,0.192344583,0
-0.794893024,0.152832265,0
0.225077886,1.34707338,1
-0.771402077,0.43959057,0
-0.080079236,0.87091863,1
-0.635248826,-0.005844162,0
0.209571307,0.796492757,1
-0.069639928,1.12570981,1
0.132185633,0.540789545,1
-1.054408853,0.281687826,0
-0.251091881,0.793981112,1
-0.169142158,1.025321666,1
-0.635924652,0.818512413,1
-0.248061224,0.883184283,1
-0.051630266,0.834187016,1
-0.523930277,0.992926598,1
-0.107242374,0.793526222,1
-0.305620423,1.069684853,1
-0.542864685,0.203614247,0
-1.006435578,0.255472246,0
-0.228456796,1.403696864,1
-1.382461854,0.422466028,0
-0.58747043,0.333054993,0
-0.782588893,0.111086188,0
-1.004041958,0.092992047,0
-0.237618851,0.983624116,1
-0.99286582,0.326246442,0
-0.366902969,0.927426562,1
-1.278185599,0.037780499,0
-0.89672555,0.365276212,0
-0.766271457,-0.082839518,0
-0.41449765,0.84273872,1
-1.054139364,0.351500836,0
-0.158987757,0.966312868,1
-0.976599376,0.194115502,0
-0.345517375,0.932019485,1
-1.072917426,0.169499604,0
-0.35588767,0.668051535,1
-0.800688069,0.417746361,0
-0.938867888,0.298667248,0
-0.93551854,0.224138272,0
-0.775973456,0.363779773,0
-0.735094316,-0.182238273,0
0.016490129,0.837143904,1
-1.305793052,-0.171883142,0
-0.106598935,0.539410034,1
-0.086912437,0.956040937,1
-0.998237806,0.266478316,0
-0.406695572,0.753996004,1
-0.686515911,0.143724578,0
-0.524367086,0.683708085,1
-0.771659363,0.219411793,0
-0.150997136,0.746615307,1
-0.233738584,0.984730512,1
-0.142301339,0.688461826,1
-0.203871675,0.929578257,1
-0.337789189,0.039066014,0
-0.929092465,0.355716694,0
-0.462400946,0.732383705,1
-1.117970598,0.171263965,0
-0.186827056,1.088935053,1
-0.653388876,0.899735824,1
-0.794183855,0.610416813,0
-0.510715016,0.869688959,1
-0.97815707,0.511358003,0
-0.308514823,0.857468521,1
-0.113324324,1.158325585,1
-1.355217087,-0.102945958,0
-1.003542122,0.205316653,0
-0.704135215,0.388595,0
-1.356813954,0.038414602,0
-0.770000518,-0.059910291,0
-0.351242073,0.806590702,1
-0.806298393,-0.095214294,0
-0.917225502,0.51804265,0
-1.155301564,0.359740508,0
-0.022034274,1.034095107,1
-0.638091548,-0.050612828,0
-0.887406379,0.411194737,0
-0.680385001,0.766327771,1
-0.166035239,0.655880852,1
-0.368826186,0.866119935,1
-0.866812446,0.237398736,0
-0.93623374,0.109519241,0
-0.740664391,0.063398295,0
-1.364285687,-0.005585268,0
-0.126072902,1.145522014,1
-0.318287177,1.057030607,1
-1.286970543,0.144533189,0
-1.079165111,0.109226545,0
-0.729229642,0.707796377,1
-0.111300455,0.734764516,1
-1.059580392,0.139950147,0
-0.013729946,0.875495204,1
0.064763981,1.116774356,1
-0.147044052,0.636480956,1
