x,y,t
29,27,0
35,42,1
35.6,35,1
30,31,1
10,11,0
35,28,1
48,31,1
35.8,33,1
33,38,1
32,40,1
19,7.2,0
39,25,1
47,45,1
35,30,1
35,30,1
38,38,1
40,30,1
45,45,1
43,42,1
46,43,1
46,42,1
45,39,1
46,44,1
43,47,1
41,25,1
41,27,1
38,29,1
42,38,1
27,38,1
27,29,0
7,25,0
40,26,1
41,33,1
18.8,24.2,0
33,36,1
46,45,1
38,15,0
6,16,0
16,18,0
36,46,1
43,42,1
39,45,1
50,46,1
37,18,0
38,45,1
36,31,1
35.6,30,1
43,42,1
24,20,0
6,25,0
43,40,1
6,25,0
41,31,1
22,19,0
30,24,0
12,30,0
14,32,0
20,11,0
49,50,1
47,45,1
48,49,1
44,43,1
22,20,0
45,43,1
45,27,1
46,42,1
28,37,1
34,33,1
43,40,1
41,30,1
49,45,1
48,42,1
36,40,1
50,39,1
48,40,1
36,38,1
49,31,1
48,48,1
10,39,0
46,44,1
41,38,1
36,30,1
40,35,1
47,46,1
45,37,1
45,41,1
47,47,1
49,34,1
33,32,1
42,32,1
38.8,33,1
42,31,1
39,41,1
38,33,1
35,37,1
27,39,1
32,38,1
34,33,1
11,43,0
35,30,1
40.8,39,1
29,44,1
30,33,1
15,10.5,0
36,50,1
28,30,0
32,44,1
34,28,1
37,38,1
44,38,1
46,50,1
41,30,1
45,48,1
48,49,1
45,48,1
48,50,1
49,50,1
40,48,1
21,18,0
34,32,1
45,48,1
47,45,1
48,48,1
44,50,1
24,43,1
34,44,1
43,36,1
36,31,1
48,48,1
47,48,1
50,50,1
35,34,1
24,44,1
44,48,1
49,50,1
44,50,1
44,48,1
39,46,1
42,44,1
26,30,0
16,34,0
48,48,1
47,46,1
40,48,1
35.6,32,1
42,30,1
45,44,1
34,48,1
28,47,1
47,48,1
50,48,1
46,48,1
33,26,0
17,21,0
35.5,48,1
32.5,39,1
15,22,0
47,49,1
40,50,1
37.5,45,1
33.5,30,1
39.5,12,0
30,41,1
45.5,40,1
27.5,7,0
41,43,1
36.5,45,1
26.5,47,1
29,29,0
21,27,0
38.5,35,1
35.5,25,1
46,45,1
41,41,1
34,39,1
35,11,0
17,33,0
43,42,1
45.5,49,1
48,45,1
24.5,35,0
37,40,1
46,46,1
23,33,0
41,46,1
22,34,0
26.5,37,1
42,42,1
28.5,45,1
39.5,41,1
30.5,26.7,0
7,41,0
22,34,0
21,49,1
34,47,1
29,35,1
30,25,0
38,44,1
30,27,0
44,31.5,1
28,34,1
48,46,1
45,47,1
44,45,1
47,47,1
45,43,1
43,43,1
31,44,1
34,50,1
33,40,1
47,49,1
45,43,1
37,38,1
43,39,1
41,46,1
38,38,1
42,44,1
38,42,1
48,49,1
46,43,1
48,50,1
43,42,1
35,39,1
41,45,1
48,44,1
24,42,1
24,44,1
37,48,1
46,50,1
41,42,1
39,46,1
36,30,1
46,48,1
44,48,1
41,46,1
39,48,1
32,39,1
22,12,0
39,50,1
35,12,0
18,42,1
45,45,1
42,50,1
44,24,1
46,44,1
38,39,1
48,47,1
40,46,1
48,32,1
33.5,46,1
