x,y
7.232450316,3.588199235
3.31753661,-2.515086906
0.517975468,-3.149774075
1.383308603,-2.189895143
5.633741503,5.696082319
3.319571979,-2.448032142
5.673127032,-2.964167396
5.702184947,-1.875487432
7.970809979,5.470161924
0.007194448,1.242754597
5.920609217,-1.397638132
7.986664359,4.62690054
6.466918887,-1.788221472
-3.287580272,1.746316231
8.791630845,5.56578097
5.926277994,-2.185198876
-4.280431993,2.001837578
4.704014772,6.641516045
-2.977627719,1.476643629
-0.288055678,1.910429746
4.702730153,6.697983184
7.385558729,3.77178374
9.273634413,5.25724246
8.541391301,3.613873072
9.020907793,6.094405926
-0.247129839,1.026444071
7.67970034,4.347707886
8.452350176,6.345289366
-3.129024484,1.958012018
5.018944685,-4.032340953
0.392227497,-1.753282051
-1.000966512,2.172065996
1.991365915,-3.288805423
8.617401179,6.781684911
-6.067531546,4.579865033
-5.129411391,4.569049095
5.309210966,-2.116413139
3.83427982,-2.03578539
-2.455338594,2.68730685
-1.963414096,0.029457504
-4.142872168,1.591198674
-3.219543557,2.022553028
4.293331301,-3.71534127
4.635969702,-2.762018614
-5.892522637,3.936565393
-5.962140734,4.547627563
6.568340052,6.295013492
8.46955551,4.206188135
6.217999732,-3.89539329
5.921590751,-2.925159015
5.094406585,6.533577004
6.09002447,-2.096530296
5.698214652,-1.475837417
7.859950432,3.715297747
-1.627827997,2.532568114
-5.74950381,5.681659827
-4.690797541,3.406096867
9.39165273,5.606134448
0.885562462,-2.173541916
0.296413242,-2.178051985
8.356460961,5.710926073
8.082628339,5.522951397
-5.448618521,3.514150789
4.268489493,-4.611073031
-0.202680822,-2.59959088
3.975626504,-3.58280846
-5.840513928,3.573160106
4.381893428,6.933216923
4.490371589,6.797829813
4.650410667,-2.637530276
5.209248237,-2.737949795
5.451697589,6.597795591
-4.233538745,1.912987226
-0.66175558,1.518587311
5.08240116,5.856443383
7.896427548,3.308892436
3.549527064,-2.728832522
2.303085122,-2.567547421
7.583910399,3.67935802
-0.225059942,-2.390975777
3.623285866,-2.547118282
4.654330278,6.282315566
5.179653203,6.233586515
-0.755354256,-1.569527866
-6.090340614,5.027326103
5.775519431,7.36407006
8.649879154,5.466828525
-4.774208303,4.249886749
-0.436296868,-2.536680503
-0.376417494,1.27771404
-0.391084169,-2.346244285
0.069364004,-1.617251772
-0.738510155,0.647361945
6.109002107,6.940830947
4.572790479,-2.506557389
5.60352761,-2.011385601
5.401745601,6.010288885
0.367663664,-2.419456143
4.622389364,-3.281406016
3.409417415,-1.44557184
5.535329257,-2.326093255
-0.87671873,0.723812754
0.245870768,-1.896437174
8.572007824,5.274941256
0.146264025,-2.014573416
-5.656860464,4.400564085
4.017771014,-3.775646729
-2.841799268,1.288530999
5.61996102,-2.51036919
7.857550879,3.537858924
-0.182503673,-2.353682385
-3.751380632,1.053589422
5.292281263,6.601804372
8.434084895,5.52010351
8.420899586,5.36524613
-3.637242687,2.063695116
-6.224071422,4.299756653
-0.877583418,2.849536827
3.35622869,-3.15699782
3.327902699,-2.888331211
-3.098161609,1.828378932
4.868766631,-1.746240202
8.517045315,5.145882746
5.317361425,-1.93058819
-0.641708699,-1.340455345
8.607445537,4.011740735
5.631422317,-3.004080366
-6.048326205,4.347517456
0.171148312,-2.494442216
5.659716957,6.842711935
-1.52118149,2.456722205
5.472920994,6.012393184
-0.351303201,-1.923677312
7.074138588,4.039231126
5.807376169,-2.406083742
-0.485535447,2.267447395
5.351389596,-2.525645567
-1.20619321,0.743367878
-0.388723035,0.757225355
6.080670496,5.552853159
7.444996449,4.111039455
6.031530924,6.752678701
-6.184801787,4.749591287
9.287529071,5.328875367
4.278299162,-2.566856767
-0.499400084,-1.929183414
7.849989721,3.338156645
3.854530527,-3.238219619
3.706246516,-1.805414722
5.856257309,7.384972567
0.584924993,-2.482744993
8.608784098,6.117422081
5.495046404,7.60756739
3.266542313,-2.489505057
5.248164019,-3.067883319
-6.137681282,5.458854461
4.507143092,-3.248370308
-5.220838323,5.085770804
-0.619569831,1.283663887
-5.810607567,4.307605454
4.745148837,-3.698117449
-1.027248191,1.131496824
1.180364702,-1.949515003
-2.685974386,1.857527755
4.476476602,-3.608765504
8.039530117,3.704014077
7.781170908,4.482867068
9.229777365,5.631306431
2.121784979,-3.351415606
6.248048591,-3.031206309
-5.996256948,4.738060156
8.695960704,4.941065347
-0.87012501,1.622896599
-6.322626519,3.597547906
4.796758911,6.171997648
8.52388147,5.857921921
-2.832060522,3.259224132
-5.881095598,4.451792724
5.620292239,-1.507944614
5.024559709,-2.467141551
4.76638793,6.596286299
-2.094574863,3.187763625
3.091685792,-3.591644924
-2.892133572,3.53746542
8.00741009,3.659018309
6.879700173,3.081042408
5.921922404,-1.843614819
-3.856244775,2.371271116
7.765459903,3.99555433
4.95753392,7.181738774
8.275989572,5.977880964
8.861928736,5.859152598
-0.049858245,-1.884489777
1.955487308,-2.688578646
-5.840672686,4.017229399
4.70908775,-4.10362215
6.074890649,6.786992777
4.526296065,-3.58783785
9.528352191,5.63798662
5.694103978,-1.980906499
8.911750591,6.24680044
-0.749338424,1.677871
-0.879161539,1.773900925
5.320166106,6.275385515
-0.777191059,0.87116334
7.290431398,3.705167777
8.516793108,6.567017784
0.372945461,-1.011093422
5.802100245,-2.633178308
