x,y
-6.682781097,8.019493684
-8.588995243,7.71799449
-6.819395261,-8.667755915
-5.887557395,-8.710942282
-5.659644128,-8.079734052
-5.615332889,8.656217637
-8.694555097,-4.861886723
-7.449977591,-9.520260245
-6.190248743,9.143377477
-8.711538682,-4.037181889
-7.895165557,5.950772577
-6.307212856,9.757069051
-8.201638283,-5.019618174
-5.442771569,8.625793357
-4.512557005,10.83825052
-4.446604435,8.799628302
10.79749774,-3.15410521
-6.613151049,-8.887865272
9.902868708,-2.760755472
-9.059338473,-5.801785964
-6.159850745,8.917761831
-8.462892336,-4.006338614
-6.740835299,-8.589165602
10.24383357,-2.084690804
-7.454340861,-9.064204676
10.70445051,-1.670703493
-9.421136927,6.414955295
-8.20031388,5.079158202
-8.872467094,-4.733776431
8.943100834,-0.842577381
-5.524787673,-9.458368811
-7.29788973,-5.882209335
11.55850821,-3.278495104
-8.24164168,7.065863083
7.663588441,-2.229561423
-5.265710162,9.959869318
-8.489758671,5.475337482
-6.231780687,-7.523220043
9.42718161,-1.837197989
-6.838218953,-7.605253033
-8.99902611,4.30473912
-10.07548772,-5.523248098
10.48466929,-2.360675499
-6.67164159,-9.306770102
-6.913980993,-10.51155192
9.907623488,-2.569966973
-6.691250708,-8.749582796
-7.599517735,5.204869363
9.315045517,-1.483766155
-8.93336404,4.34869424
-5.635318164,8.539723149
-5.989079589,-9.122698219
-8.494608658,-5.695508126
-5.377133092,8.219084155
10.3228582,-1.280249721
-7.798006599,6.064501013
-9.237511379,-5.80175631
-9.610725143,5.869144364
8.628232768,-2.311303917
-7.144405438,5.660028821
-8.096399419,7.6596702
-7.016741942,-9.600698641
-8.732313203,5.828686332
-7.961156978,-8.734121297
-8.843300033,6.195072068
-7.897261627,-3.841833574
-5.888394261,9.49954907
-9.312621183,-4.241150124
-3.95982857,9.454477231
9.915017993,-1.837319331
-9.396979731,-4.350334636
-4.794869394,9.667357092
-9.126446133,7.801908002
8.69823364,-1.158681027
-5.608157444,9.932873054
11.0438198,-1.394849676
-9.134937172,-6.94520144
-10.27491815,-5.407201215
-9.554491295,6.141490305
-8.278176617,4.744610974
-5.7731553,9.454844046
-8.522694557,-4.683503898
-7.86338335,-8.423353076
8.764968817,-3.163717271
9.038383988,-1.699756528
-5.110843679,8.062728218
-8.868502527,-5.27243459
9.155170608,-1.876851678
-4.36872431,8.437558628
10.17655352,-2.137746532
-7.276531,7.277962417
-8.569310551,-4.699875136
-6.905077762,-7.832762996
-7.538123866,-9.04857151
-7.783653238,-5.699184424
-7.997785286,-5.247977992
-8.153528022,7.646342886
-7.576987426,-9.369502546
-5.176323471,10.46968096
-5.667488356,8.634447983
