epoch,step,train_loss,val_loss
0,236,,0.10338004678487778
0,236,0.11678453534841537,
1,473,,0.10210101306438446
1,473,0.09942026436328888,
2,710,,0.10280031710863113
2,710,0.10067584365606308,
3,947,,0.1014997661113739
3,947,0.09886213392019272,
4,1184,,0.10976845026016235
4,1184,0.09790617227554321,
5,1421,,0.10533116012811661
5,1421,0.09782350808382034,
6,1658,,0.10236921161413193
6,1658,0.09844494611024857,
7,1895,,0.10358037799596786
7,1895,0.09750928729772568,
8,2132,,0.10350903123617172
8,2132,0.0976129099726677,
9,2369,,0.10138428211212158
9,2369,0.0971732884645462,
10,2606,,0.10169688612222672
10,2606,0.09670475125312805,
11,2843,,0.10806213319301605
11,2843,0.09811239689588547,
12,3080,,0.10253474116325378
12,3080,0.09669464081525803,
13,3317,,0.10147570073604584
13,3317,0.09616012871265411,
14,3554,,0.10154997557401657
14,3554,0.10004189610481262,
15,3791,,0.10549987852573395
15,3791,0.09823549538850784,
16,4028,,0.10569023340940475
16,4028,0.09590347111225128,
17,4265,,0.12879431247711182
17,4265,0.1211586743593216,
18,4502,,0.10576470196247101
18,4502,0.10833371430635452,
19,4739,,0.11790601164102554
19,4739,0.1031665951013565,
20,4976,,0.10785877704620361
20,4976,0.10473328083753586,
21,5213,,0.11085458844900131
21,5213,0.10232065618038177,
22,5450,,0.10497084259986877
22,5450,0.10360459983348846,
23,5687,,0.10676181316375732
23,5687,0.09993229061365128,
24,5924,,0.10591553151607513
24,5924,0.10028281062841415,
25,6161,,0.1072818860411644
25,6161,0.09976159781217575,
26,6398,,0.10212086886167526
26,6398,0.1015540212392807,
27,6635,,0.10961461812257767
27,6635,0.10007045418024063,
28,6872,,0.1096416786313057
28,6872,0.0999109297990799,
29,7109,,0.10195295512676239
29,7109,0.10161332786083221,
