epoch,step,train_loss,val_loss
0,236,,0.11112858355045319
0,236,0.12924820184707642,
1,473,,0.1257951706647873
1,473,0.10740778595209122,
2,710,,0.11674649268388748
2,710,0.11218281835317612,
3,947,,0.1280745267868042
3,947,0.1684776246547699,
4,1184,,0.12987545132637024
4,1184,0.12695370614528656,
5,1421,,0.15707004070281982
5,1421,0.11933144927024841,
6,1658,,0.1427687555551529
6,1658,0.11922214180231094,
7,1895,,0.18246868252754211
7,1895,0.11623899638652802,
8,2132,,0.12600521743297577
8,2132,0.11916330456733704,
9,2369,,0.11332439631223679
9,2369,0.11870089918375015,
10,2606,,0.13094037771224976
10,2606,0.12280028313398361,
11,2843,,0.13419461250305176
11,2843,0.119307741522789,
12,3080,,0.13249267637729645
12,3080,0.1192936971783638,
13,3317,,0.115997314453125
13,3317,0.11439239978790283,
14,3554,,0.10891339182853699
14,3554,0.1157742291688919,
15,3791,,0.11712685972452164
15,3791,0.11629904061555862,
16,4028,,0.13380004465579987
16,4028,0.11668100208044052,
17,4265,,0.12141168862581253
17,4265,0.11923826485872269,
18,4502,,0.12880274653434753
18,4502,0.12019386142492294,
19,4739,,0.1236286610364914
19,4739,0.12329953908920288,
20,4976,,0.12985463440418243
20,4976,0.11926090717315674,
21,5213,,0.11544936895370483
21,5213,0.11899200826883316,
22,5450,,0.1271539181470871
22,5450,0.11673375964164734,
23,5687,,0.13587649166584015
23,5687,0.12017340213060379,
24,5924,,0.11685770750045776
24,5924,0.11438524723052979,
25,6161,,0.11584840714931488
25,6161,0.12012447416782379,
26,6398,,0.12139597535133362
26,6398,0.11057938635349274,
27,6635,,0.16450174152851105
27,6635,0.12575848400592804,
28,6872,,0.12345995754003525
28,6872,0.12426434457302094,
29,7109,,0.11931003630161285
29,7109,0.11452406644821167,
30,7346,,0.11101312935352325
30,7346,0.11462780088186264,
31,7583,,0.12785574793815613
31,7583,0.11544670164585114,
32,7820,,0.11404436081647873
32,7820,0.11852721124887466,
33,8057,,0.1938934624195099
33,8057,0.11457329243421555,
34,8294,,0.11063538491725922
34,8294,0.1233547180891037,
